model,dataset,execution,elapsed_time_ms,input_data_amount,average_time_per_input
M1,minsensors_12,16,0.04588603973388672,42,0.0010925247555687314
M1,minsensors_12,17,0.04667091369628906,42,0.0011112122308640253
M1,minsensors_12,18,0.05094408988952637,42,0.0012129545211791992
M1,minsensors_12,19,0.04725933074951172,42,0.0011252221607026599
M1,minsensors_12,20,0.04689431190490723,42,0.0011165312358311244
M1,minsensors_12,21,0.04820132255554199,42,0.0011476505370367142
M1,minsensors_12,22,0.05077505111694336,42,0.0012089297884986514
M1,minsensors_12,23,0.049584388732910156,42,0.0011805806841169084
M1,minsensors_12,24,0.04593825340270996,42,0.001093767938159761
M1,minsensors_12,25,0.05137491226196289,42,0.001223212196713402
M1,minsensors_12,26,0.049332380294799805,42,0.0011745804832095192
M1,minsensors_12,27,0.04690432548522949,42,0.001116769654410226
M1,minsensors_12,28,0.04715895652770996,42,0.0011228322982788086
M1,minsensors_12,29,0.047867774963378906,42,0.0011397089276994979
M1,minsensors_12,30,0.05106472969055176,42,0.0012158268973940895
M1,minsensors_12,31,0.049484968185424805,42,0.0011782135282244002
M1,minsensors_12,32,0.05034971237182617,42,0.0011988026755196707
M1,minsensors_12,33,0.046715497970581055,42,0.0011122737612043107
M1,minsensors_12,34,0.050766944885253906,42,0.0012087367829822359
M1,minsensors_12,35,0.05103182792663574,42,0.0012150435220627557
M1,minsensors_12,36,0.04622626304626465,42,0.0011006253106253488
M1,minsensors_12,37,0.04921913146972656,42,0.0011718840826125372
M1,minsensors_12,38,0.046439409255981445,42,0.0011057002203805105
M1,minsensors_12,39,0.04923415184020996,42,0.0011722417104811896
M1,minsensors_12,40,0.04598641395568848,42,0.0010949146179925827
M1,minsensors_12,41,0.047167301177978516,42,0.0011230309804280598
M1,minsensors_12,42,0.053272247314453125,42,0.0012683868408203125
M1,minsensors_12,43,0.04952883720397949,42,0.0011792580286661785
M1,minsensors_12,44,0.04712390899658203,42,0.0011219978332519531
M1,minsensors_12,45,0.0480344295501709,42,0.001143676894051688
M1,minsensors_12,46,0.047475576400756836,42,0.0011303708666846866
M1,minsensors_12,47,0.046411752700805664,42,0.0011050417309715634
M1,minsensors_12,48,0.045914411544799805,42,0.0010932002748761857
M1,minsensors_12,49,0.0460360050201416,42,0.0010960953576224191
M1,minsensors_12,50,0.050627946853637695,42,0.0012054273060389928
M1,minsensors_12,51,0.04727363586425781,42,0.001125562758672805
M1,minsensors_12,52,0.047025203704833984,42,0.001119647707257952
M1,minsensors_12,53,0.05097341537475586,42,0.0012136527470179967
M1,minsensors_12,54,0.05321812629699707,42,0.001267098245166597
