timestamp,pos_x,pos_y,pos_z,b827eb4521b4,b827ebfd7811,000000000202,000000000101,000000000402,000000000301,000000000201,000000000302,000000000401,b827ebf7d096,000000000102,b827eb917e19
1581249625.9877207,12.525145943636364,8.562190270545454,1.7585221634545456,-67,-73,-86,-73,-79,-70,-200,-68,-61,-79,-74,-79
1581249626.4406495,12.458921235555556,8.581506195888888,1.7753734507777779,-68,-70,-79,-200,-71,-76,-200,-200,-60,-77,-85,-72
1581249626.8916395,12.3619207756,8.5931561791,1.7848438208999997,-73,-83,-89,-200,-76,-74,-83,-200,-64,-75,-70,-83
1581249627.3449907,12.237981632181818,8.59031536990909,1.7966215559999996,-70,-77,-84,-70,-66,-74,-200,-70,-69,-73,-71,-85
1581249627.8016963,12.1094057929,8.588047193699998,1.7997075435999998,-64,-73,-72,-76,-200,-68,-80,-69,-77,-200,-200,-71
1581249628.2565284,11.9697608399,8.578675426999999,1.8036688566999999,-70,-200,-80,-71,-200,-74,-78,-78,-66,-74,-76,-67
1581249628.711477,11.823716910166667,8.576081757749998,1.8178364848333333,-72,-76,-73,-80,-84,-81,-76,-78,-73,-71,-75,-71
1581249629.1627722,11.677621195999999,8.597091290666667,1.8098310597499996,-63,-81,-73,-83,-71,-71,-71,-68,-65,-79,-74,-71
1581249629.6139739,11.534054219583332,8.586,1.8092090995833334,-67,-79,-75,-70,-84,-68,-73,-69,-61,-81,-77,-83
1581249630.069597,11.389874574181817,8.573859693727274,1.8112865647272727,-64,-73,-71,-200,-78,-70,-77,-200,-62,-85,-70,-71
1581249630.5285008,11.2364016627,8.5765712307,1.8150569844999995,-70,-79,-200,-81,-78,-80,-77,-68,-200,-78,-83,-71
1581249630.9842303,11.084186925666666,8.578418692583334,1.8150000000000004,-67,-87,-73,-73,-72,-69,-78,-70,-69,-84,-73,-67
1581249631.436537,10.939308965583335,8.575232724083332,1.813767275916667,-83,-200,-73,-71,-71,-68,-72,-67,-69,-71,-82,-69
1581249631.8904862,10.791891426076925,8.574586959769231,1.8128260807692305,-63,-82,-200,-67,-69,-64,-74,-63,-70,-72,-74,-80
1581249632.3442965,10.640402125846155,8.578942269384616,1.811115461,-62,-72,-85,-74,-72,-76,-74,-62,-65,-79,-77,-71
1581249632.803768,10.528310078909092,8.557798449545453,1.822550387818182,-200,-72,-82,-77,-78,-67,-79,-71,-65,-80,-80,-200
1581249633.255106,10.343614874299998,8.5700296251,1.8204851874999999,-200,-88,-79,-74,-79,-65,-81,-74,-68,-77,-72,-200
1581249633.712011,10.152806356545456,8.583788859636366,1.818105570090909,-64,-72,-74,-74,-200,-72,-83,-75,-66,-77,-69,-70
1581249634.1695545,9.939529942899998,8.5838176647,1.8283646702999998,-69,-200,-200,-74,-69,-70,-81,-74,-64,-76,-75,-73
1581249634.6301057,9.705701798636362,8.577674126181817,1.818453046909091,-59,-75,-75,-200,-73,-70,-80,-200,-60,-77,-72,-69
1581249635.0859077,9.491417695909092,8.52595395190909,1.8209697178181818,-61,-70,-69,-79,-77,-200,-78,-75,-68,-77,-75,-65
1581249635.5396755,9.324702871300001,8.5305716769,1.8248566466,-60,-70,-75,-78,-77,-72,-75,-76,-200,-200,-200,-68
1581249635.996331,9.16182887081818,8.540355266545454,1.830710533090909,-58,-200,-67,-76,-82,-68,-84,-79,-71,-80,-69,-69
1581249636.4468992,8.99324871181818,8.541067574,1.8336405445454544,-63,-200,-71,-81,-73,-72,-69,-70,-68,-77,-76,-70
1581249636.9046276,8.819200192583333,8.546779576166665,1.8363346821666668,-61,-90,-200,-71,-74,-69,-76,-70,-67,-82,-68,-67
1581249637.3617468,8.6485929053,8.5513097327,1.8341150447,-70,-85,-70,-72,-77,-71,-75,-200,-81,-84,-70,-200
1581249637.8194847,8.4784674411,8.535137765300002,1.8377724468999996,-69,-72,-76,-69,-78,-83,-74,-74,-200,-200,-200,-66
