timestamp,pos_x,pos_y,pos_z,b827eb4521b4,000000000102,b827eb917e19,b827ebf7d096,b827ebfd7811,000000000101,000000000302,000000000301,000000000402,000000000201,000000000202,000000000401
1581252424.0026972,8.783741785909092,4.189178318090909,1.7888316688181818,-76,-79,-72,-86,-79,-76,-75,-70,-74,-200,-76,-65
1581252424.4578087,8.589795572363636,4.202246494272727,1.7737535057272729,-66,-77,-79,-78,-75,-63,-78,-80,-78,-80,-200,-67
1581252424.910163,8.386722056444444,4.202528700999999,1.7844712990000002,-70,-76,-200,-83,-64,-60,-69,-200,-200,-77,-76,-65
1581252425.3656235,8.183035744285714,4.210153158714286,1.7959999999999998,-200,-78,-82,-200,-70,-200,-200,-75,-66,-200,-79,-67
1581252425.8219092,7.981933474636364,4.214582697727273,1.7991901130909094,-75,-200,-90,-80,-77,-69,-82,-78,-69,-74,-78,-62
1581252426.274244,7.7876378874545455,4.214330716909091,1.8099984303636363,-72,-200,-77,-85,-81,-62,-81,-66,-72,-74,-76,-63
1581252426.7251596,7.5984698292727275,4.213514223818182,1.805069396818182,-72,-200,-76,-95,-76,-65,-78,-70,-75,-74,-78,-63
1581252427.1854424,7.400119791363636,4.221000000000001,1.7968752648181818,-75,-76,-89,-80,-200,-61,-79,-72,-66,-84,-83,-68
1581252427.640083,7.223258342428572,4.225552338857143,1.785657016571429,-69,-71,-200,-83,-67,-59,-80,-200,-200,-200,-200,-63
1581252428.0993335,7.055525133230769,4.211080789769231,1.7711211846153847,-86,-77,-81,-88,-69,-63,-75,-79,-74,-78,-83,-81
1581252428.5541258,6.900027656636363,4.19775967990909,1.766919893272727,-70,-200,-70,-80,-74,-62,-77,-75,-68,-77,-83,-74
1581252429.0098734,6.7277910455,4.1825717963,1.7717833245,-80,-72,-94,-89,-78,-58,-73,-73,-69,-200,-76,-200
1581252429.4669363,6.624377533222222,4.215,1.7498775597777778,-200,-68,-80,-200,-200,-65,-77,-76,-69,-83,-79,-74
1581252429.920304,6.474232248,4.2266295575,1.751543186,-71,-70,-200,-200,-200,-65,-75,-200,-200,-80,-200,-74
1581252430.3761206,6.33191187425,4.245156175375,1.7812997613750001,-200,-73,-85,-200,-69,-70,-200,-74,-71,-87,-200,-74
1581252430.8287864,6.19002081623077,4.278037293307692,1.7619418904615385,-73,-82,-72,-83,-72,-65,-79,-72,-70,-80,-79,-67
1581252431.2817101,6.092156925909092,4.324333065363636,1.7004002412727275,-76,-200,-73,-87,-70,-64,-79,-71,-69,-76,-80,-66
1581252431.7345178,6.126559773090909,4.422170328,1.670182027090909,-80,-200,-77,-91,-70,-62,-75,-71,-68,-80,-80,-66
1581252432.194134,6.259530876583333,4.4212275185,1.6566161070000003,-89,-79,-83,-91,-75,-69,-81,-81,-72,-83,-72,-77
1581252432.6477995,6.053565722249999,4.404328944375,1.726032916625,-200,-74,-200,-200,-74,-67,-87,-81,-200,-82,-73,-75
1581252433.0989373,5.939382523857143,4.407047673142857,1.766570940857143,-79,-72,-200,-87,-71,-63,-83,-200,-200,-200,-200,-78
1581252433.5553787,5.865098522666667,4.404443658,1.7897817116666666,-200,-200,-200,-95,-200,-200,-82,-200,-66,-200,-200,-200
1581252434.0102103,5.819688525272727,4.403,1.8044371582727272,-70,-66,-79,-83,-67,-69,-84,-73,-66,-80,-200,-200
1581252434.461971,5.795920290545455,4.4108496367272725,1.8135398547272727,-71,-200,-78,-86,-71,-70,-82,-81,-68,-75,-77,-77
1581252434.9187918,5.780230983181819,4.442922541727273,1.8189230058181816,-70,-74,-74,-86,-83,-82,-80,-200,-65,-79,-79,-88
1581252435.37875,5.774807864285713,4.534370643428571,1.8098411528571428,-69,-88,-200,-87,-200,-68,-78,-200,-200,-75,-200,-70
1581252435.8356686,5.776841490166667,4.668772972833334,1.7845048938333334,-200,-68,-200,-200,-79,-200,-200,-200,-70,-83,-81,-78
1581252436.2882097,5.788100717999999,4.818740990363637,1.7367194546363636,-66,-67,-82,-91,-90,-70,-200,-81,-69,-81,-78,-81
1581252436.7391217,5.680517795083333,4.967482204916667,1.6955719038333334,-63,-68,-77,-83,-77,-64,-78,-80,-68,-76,-200,-82
1581252437.1898475,5.675835903,5.149848570923077,1.714343612,-63,-70,-85,-91,-73,-67,-75,-78,-76,-84,-71,-75
1581252437.642553,5.612817538181819,5.3569677551818184,1.719019662090909,-58,-200,-71,-82,-78,-81,-81,-79,-77,-85,-75,-71
