timestamp,pos_x,pos_y,pos_z,b827ebf7d096,b827eb917e19,b827ebfd7811,b827eb4521b4,000000000302,000000000401,000000000402,000000000202,000000000301,000000000201,000000000101,000000000102
1568707169.277883,12.95,2.19,2.35,100,100,100,100,-80,100,-62,100,100,100,100,-73
1568707178.822328,12.95,2.19,2.35,100,100,100,100,100,100,-67,100,100,-77,-72,100
1568707316.6966767,12.95,2.19,2.35,100,100,100,100,100,100,-64,100,100,100,-70,-71
1568707377.1225567,12.95,2.19,2.35,100,100,100,100,100,100,100,-74,100,100,-79,-72
1568707427.083772,12.95,2.19,2.35,100,100,100,100,100,100,-62,-74,100,100,100,-73
1568707491.6703107,12.95,2.19,2.35,100,100,100,100,100,100,-62,100,-84,100,100,-72
1568707584.927103,12.95,2.19,2.35,100,100,100,100,100,-64,-66,100,100,100,-72,100
1568707686.8420627,12.95,2.19,2.35,100,100,100,100,100,-64,100,100,100,100,-70,-71
1568707737.377695,12.95,2.19,2.35,100,100,100,100,100,-64,100,100,100,-78,-68,100
1568707778.786356,12.95,2.19,2.35,100,100,100,100,100,-64,-64,100,100,-77,100,100
1568707789.706362,12.95,2.19,2.35,100,100,100,100,100,-64,100,100,100,-77,100,-73
1568707835.222403,12.95,2.19,2.35,100,100,100,100,100,-64,100,100,100,-77,100,-76
1568707847.0685527,12.95,2.19,2.35,100,100,100,100,-81,100,100,-74,100,100,-72,100
1568707875.2333107,12.95,2.19,2.35,100,100,100,100,-81,100,100,-75,100,100,-72,100
1568708018.049754,12.95,2.19,2.35,100,100,100,100,-81,100,100,-75,100,100,-72,100
1568708112.094787,12.95,2.19,2.35,100,100,100,100,-82,100,100,-74,100,100,-86,100
1568708257.6641767,12.95,2.19,2.35,100,100,100,100,100,100,100,-74,100,-77,100,-73
1568708289.502152,12.95,2.19,2.35,100,100,100,100,100,-64,100,100,100,-77,100,-71
1568708387.265014,12.95,2.19,2.35,100,100,100,100,100,100,-64,-74,100,100,100,-73
1568708415.931744,12.95,2.19,2.35,100,100,100,100,100,100,-64,-74,100,100,-72,100
1568708423.660682,12.95,2.19,2.35,100,100,100,100,-79,-64,100,100,100,100,100,-73
1568708473.701388,12.95,2.19,2.35,100,100,100,100,100,100,-66,-74,100,-77,100,100
1568708489.172942,12.95,2.19,2.35,100,100,100,100,-81,-64,-65,100,100,100,100,100
1568135004.947627,5.17,17.27,1.85,100,100,100,100,100,100,-80,100,100,-75,100,-76
1568135653.099278,5.17,17.27,1.85,100,100,100,100,-74,100,-80,100,100,100,-81,100
1568136049.681896,5.17,17.27,1.85,100,100,100,100,100,-76,100,-59,100,100,100,-77
1568300292.045692,20.54,16.70,1.85,100,100,100,100,100,100,-83,100,100,100,-80,-76
1568301061.966132,20.54,16.70,1.85,100,100,100,100,-79,-76,100,100,100,100,100,-76
1568301182.011764,20.54,16.70,1.85,100,100,100,100,-78,-71,-86,100,100,100,100,100
