timestamp,pos_x,pos_y,pos_z,b827ebfd7811,000000000402,b827ebf7d096,000000000202,000000000201,000000000301,000000000401,b827eb4521b4,000000000101,000000000102,000000000302,b827eb917e19
1568742951.014674,18.13,0.45,1.85,-92,-70,-80,-75,-75,-77,-71,-79,-79,-76,-76,-80
1568742953.75333,18.13,0.45,1.85,-76,-75,-80,-74,-79,-77,-73,-79,-86,-81,-84,-81
1568742956.4720488,18.13,0.45,1.85,-73,-70,-79,-75,-75,-77,-71,-79,-79,-76,-76,-81
1568742965.1202507,18.13,0.45,1.85,-73,-75,-76,-73,-79,-77,-75,-79,-86,-82,-81,-81
1568742969.199393,18.13,0.45,1.85,-72,-70,-75,-72,-75,-77,-75,-79,-87,-82,-76,-81
1568742977.838142,18.13,0.45,1.85,-73,-75,-78,-73,-81,-77,-73,-79,-79,-76,-84,-81
1568742980.564587,18.13,0.45,1.85,-72,-70,-80,-72,-75,-77,-75,-79,-87,-82,-76,-81
1568742982.395668,18.13,0.45,1.85,-72,-70,-80,-71,-75,-77,-75,-79,-86,-76,-76,-81
1568742986.030472,18.13,0.45,1.85,-79,-70,-79,-71,-75,-77,-75,-79,-80,-82,-76,-81
1568743000.126711,18.13,0.45,1.85,-72,-70,-76,-72,-78,-77,-75,-78,-87,-82,-76,-81
1568743003.307898,18.13,0.45,1.85,-72,-75,-78,-72,-78,-77,-73,-79,-79,-76,-84,-81
1568743009.212618,18.13,0.45,1.85,-72,-70,-80,-72,-75,-77,-71,-79,-79,-76,-76,-81
1568743019.211054,18.13,0.45,1.85,-72,-75,-76,-73,-81,-77,-73,-79,-86,-82,-84,-81
1568743022.842748,18.13,0.45,1.85,-72,-72,-80,-73,-75,-77,-73,-79,-79,-81,-76,-80
1568743027.383984,18.13,0.45,1.85,-75,-75,-80,-74,-78,-77,-71,-79,-86,-79,-83,-80
1568743028.751008,18.13,0.45,1.85,-73,-70,-76,-74,-81,-77,-75,-78,-87,-82,-76,-80
1568743034.2126527,18.13,0.45,1.85,-87,-75,-78,-76,-78,-77,-71,-80,-79,-76,-84,-81
1568743046.026924,18.13,0.45,1.85,-92,-70,-80,-77,-75,-77,-71,-79,-79,-76,-76,-80
1568743048.7585287,18.13,0.45,1.85,-72,-74,-78,-72,-81,-77,-75,-79,-87,-82,-84,-81
1568743051.484506,18.13,0.45,1.85,-93,-70,-79,-75,-75,-77,-71,-79,-79,-76,-76,-80
1568743054.2254727,18.13,0.45,1.85,-78,-75,-80,-74,-75,-77,-73,-80,-83,-76,-84,-81
1568743060.604486,18.13,0.45,1.85,-83,-70,-80,-71,-75,-77,-75,-79,-79,-76,-76,-81
1568743063.338856,18.13,0.45,1.85,-78,-75,-78,-71,-78,-77,-73,-79,-87,-76,-84,-80
1568743065.167868,18.13,0.45,1.85,-72,-74,-80,-73,-81,-77,-73,-79,-87,-79,-84,-81
1568743071.535334,18.13,0.45,1.85,-76,-70,-76,-73,-79,-77,-73,-79,-87,-82,-76,-80
1568743080.19271,18.13,0.45,1.85,-72,-70,-80,-71,-76,-77,-75,-79,-79,-82,-76,-81
1568743082.938306,18.13,0.45,1.85,-76,-74,-80,-73,-75,-77,-73,-79,-87,-79,-84,-81
1568743089.314492,18.13,0.45,1.85,-72,-70,-80,-75,-75,-77,-73,-79,-79,-76,-76,-81
1568743091.596776,18.13,0.45,1.85,-78,-72,-80,-75,-73,-77,-71,-79,-86,-76,-76,-81
1568743099.792078,18.13,0.45,1.85,-78,-75,-78,-74,-78,-77,-71,-79,-79,-76,-84,-96
1568743104.8000507,18.13,0.45,1.85,-84,-70,-78,-76,-78,-77,-71,-79,-79,-76,-76,-81
1568743110.720624,18.13,0.45,1.85,-73,-72,-80,-72,-75,-77,-75,-79,-87,-82,-76,-81
1568743112.989711,18.13,0.45,1.85,-72,-75,-78,-72,-78,-77,-73,-79,-79,-82,-84,-81
1568743123.875912,18.13,0.45,1.85,-72,-70,-78,-71,-81,-77,-75,-79,-87,-81,-76,-81
1568743126.608879,18.13,0.45,1.85,-82,-70,-80,-75,-78,-77,-73,-79,-79,-79,-76,-81
1568743132.519642,18.13,0.45,1.85,-73,-72,-78,-72,-75,-77,-75,-79,-87,-82,-76,-81
1568743137.976612,18.13,0.45,1.85,-73,-70,-78,-74,-78,-77,-73,-79,-79,-79,-76,-80
1568743140.257716,18.13,0.45,1.85,-72,-72,-80,-72,-78,-77,-75,-79,-86,-82,-76,-81
1568743148.443089,18.13,0.45,1.85,-73,-70,-80,-71,-75,-77,-75,-79,-79,-76,-76,-81
1568743152.078665,18.13,0.45,1.85,-72,-70,-78,-72,-78,-77,-75,-79,-79,-81,-76,-81
1568743154.802705,18.13,0.45,1.85,-72,-70,-80,-72,-75,-77,-75,-79,-87,-81,-76,-81
1568743160.270563,18.13,0.45,1.85,-82,-72,-80,-74,-75,-77,-73,-79,-80,-79,-76,-81
1568743166.6290348,18.13,0.45,1.85,-72,-70,-80,-71,-75,-77,-75,-79,-79,-76,-76,-81
1568743172.092484,18.13,0.45,1.85,-79,-75,-78,-74,-81,-77,-71,-79,-87,-76,-84,-89
1568743175.718913,18.13,0.45,1.85,-73,-73,-76,-72,-81,-77,-75,-79,-87,-81,-76,-81
1568743177.9964387,18.13,0.45,1.85,-72,-70,-78,-71,-79,-77,-75,-79,-79,-81,-76,-80
1568743181.631382,18.13,0.45,1.85,-75,-70,-78,-73,-79,-77,-73,-79,-79,-76,-76,-81
1568743184.356378,18.13,0.45,1.85,-73,-74,-78,-72,-81,-77,-75,-79,-83,-81,-76,-81
1568743197.562241,18.13,0.45,1.85,-78,-75,-78,-74,-78,-77,-71,-80,-83,-76,-84,-81
1568743200.282237,18.13,0.45,1.85,-72,-70,-80,-72,-75,-77,-75,-80,-79,-76,-76,-81
1568743202.0871327,18.13,0.45,1.85,-73,-75,-75,-71,-81,-77,-71,-79,-87,-81,-84,-81
1568743204.821181,18.13,0.45,1.85,-75,-75,-78,-74,-81,-77,-71,-79,-83,-82,-84,-81
1568743211.661124,18.13,0.45,1.85,-75,-70,-80,-73,-76,-77,-73,-79,-79,-79,-76,-81
1568743216.214353,18.13,0.45,1.85,-73,-70,-80,-72,-76,-77,-74,-79,-79,-76,-76,-81
1568743218.498302,18.13,0.45,1.85,-86,-75,-80,-76,-76,-77,-71,-80,-86,-76,-76,-80
1568743221.685166,18.13,0.45,1.85,-76,-75,-75,-72,-81,-77,-75,-79,-86,-79,-80,-81
1568743239.8559167,18.13,0.45,1.85,-72,-70,-75,-72,-81,-77,-75,-79,-87,-82,-76,-80
1568743243.033913,18.13,0.45,1.85,-72,-70,-80,-74,-76,-77,-73,-79,-79,-76,-76,-80
1568743248.493788,18.13,0.45,1.85,-72,-70,-80,-75,-75,-77,-73,-79,-79,-76,-76,-81
1568743259.385002,18.13,0.45,1.85,-73,-70,-80,-72,-78,-77,-75,-79,-79,-82,-76,-81
1568743264.856716,18.13,0.45,1.85,-73,-72,-79,-73,-75,-77,-71,-80,-83,-82,-84,-81
1568743274.8711207,18.13,0.45,1.85,-73,-75,-76,-72,-81,-77,-73,-79,-87,-82,-84,-81
1568743281.236304,18.13,0.45,1.85,-72,-70,-78,-72,-81,-77,-75,-79,-87,-81,-76,-81
1568743284.423442,18.13,0.45,1.85,-78,-74,-81,-74,-73,-77,-71,-81,-87,-72,-83,-82
1568743286.2440927,18.13,0.45,1.85,-76,-75,-78,-73,-75,-77,-73,-79,-87,-76,-84,-81
1568743292.156532,18.13,0.45,1.85,-73,-76,-78,-72,-75,-77,-75,-79,-86,-76,-84,-81
1568743294.439398,18.13,0.45,1.85,-72,-75,-76,-73,-81,-77,-71,-80,-87,-82,-84,-81
1568743296.264384,18.13,0.45,1.85,-76,-75,-80,-72,-75,-77,-72,-79,-79,-79,-82,-81
1568743304.904417,18.13,0.45,1.85,-73,-73,-80,-73,-78,-77,-71,-79,-87,-81,-83,-81
1568743312.190257,18.13,0.45,1.85,-73,-72,-80,-77,-75,-77,-71,-79,-79,-76,-77,-80
1568743317.20398,18.13,0.45,1.85,-72,-76,-76,-73,-78,-77,-71,-80,-87,-82,-84,-81
1568743322.661183,18.13,0.45,1.85,-75,-75,-78,-74,-78,-77,-73,-79,-87,-76,-77,-81
1568743332.2069187,18.13,0.45,1.85,-76,-72,-75,-73,-78,-77,-71,-79,-87,-76,-84,-81
1568743337.209036,18.13,0.45,1.85,-73,-73,-78,-72,-81,-77,-71,-79,-79,-79,-84,-81
1568743339.490336,18.13,0.45,1.85,-72,-75,-78,-72,-81,-77,-74,-79,-79,-79,-76,-81
1568743342.2249887,18.13,0.45,1.85,-78,-75,-80,-76,-76,-77,-71,-79,-87,-76,-84,-81
1568743344.96096,18.13,0.45,1.85,-72,-74,-76,-72,-81,-77,-73,-79,-87,-82,-76,-81
1568743346.779968,18.13,0.45,1.85,-84,-70,-78,-75,-78,-77,-73,-79,-79,-79,-76,-81
1568743349.511973,18.13,0.45,1.85,-76,-75,-78,-73,-79,-77,-73,-79,-79,-82,-84,-80
1568743354.523883,18.13,0.45,1.85,-76,-73,-76,-73,-78,-77,-73,-79,-87,-82,-76,-81
1568743357.249895,18.13,0.45,1.85,-72,-75,-78,-72,-81,-77,-73,-78,-86,-82,-76,-81
1568743362.261831,18.13,0.45,1.85,-73,-73,-76,-72,-81,-77,-71,-79,-87,-82,-84,-81
1568743369.969805,18.13,0.45,1.85,-72,-72,-80,-77,-75,-77,-75,-79,-79,-76,-76,-81
1568743372.6987467,18.13,0.45,1.85,-83,-75,-78,-74,-78,-77,-72,-79,-87,-76,-76,-81
1568743380.407689,18.13,0.45,1.85,-73,-70,-80,-71,-81,-77,-75,-79,-79,-76,-76,-81
1568743383.592633,18.13,0.45,1.85,-75,-75,-76,-73,-78,-77,-71,-79,-86,-82,-84,-81
1568743385.863613,18.13,0.45,1.85,-72,-70,-80,-72,-80,-77,-75,-80,-79,-76,-76,-81
1568743397.24979,18.13,0.45,1.85,-78,-75,-76,-73,-76,-77,-72,-79,-87,-82,-84,-81
1568743404.5306847,18.13,0.45,1.85,-83,-75,-77,-75,-79,-77,-71,-79,-86,-82,-84,-80
1568743409.537662,18.13,0.45,1.85,-73,-72,-80,-72,-81,-77,-75,-79,-79,-82,-76,-81
1568743417.282356,18.13,0.45,1.85,-72,-73,-77,-73,-78,-77,-73,-79,-79,-79,-76,-80
1568743420.009637,18.13,0.45,1.85,-72,-75,-78,-72,-81,-77,-71,-78,-87,-82,-80,-81
1568743424.11929,18.13,0.45,1.85,-73,-75,-78,-72,-81,-77,-73,-79,-87,-76,-76,-81
1568743430.03107,18.13,0.45,1.85,-72,-73,-78,-74,-78,-77,-74,-79,-79,-79,-76,-81
1568743433.209574,18.13,0.45,1.85,-72,-72,-80,-72,-81,-77,-73,-79,-79,-76,-76,-81
1568743436.386245,18.13,0.45,1.85,-73,-70,-80,-75,-81,-77,-75,-79,-79,-76,-76,-81
1568743439.574587,18.13,0.45,1.85,-76,-75,-78,-73,-78,-77,-71,-79,-86,-76,-77,-81
1568743441.846425,18.13,0.45,1.85,-72,-70,-78,-74,-79,-77,-75,-79,-79,-76,-76,-80
